task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
119	4e/0084f0	432241	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2204110002)	COMPLETED	0	2023-11-22 10:47:45.956	2m 28s	2m 27s	507.4%	14.1 GB	222.8 GB	149.7 MB	3.8 MB
91	a0/b6fd6f	172822	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2205060002)	COMPLETED	0	2023-11-22 10:39:43.890	10m 36s	10m 34s	441.4%	22 GB	300 GB	150.4 MB	4.5 MB
118	5e/e901ae	330267	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2204040002)	COMPLETED	0	2023-11-22 10:44:29.153	7m 13s	7m 11s	634.0%	23.5 GB	301.4 GB	150 MB	4.1 MB
121	9c/d24766	469577	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2210190006)	COMPLETED	0	2023-11-22 10:48:47.225	5m 29s	5m 26s	623.5%	19.5 GB	297.5 GB	149.7 MB	4.3 MB
116	f6/a27989	289748	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2204150001)	COMPLETED	0	2023-11-22 10:43:08.465	11m 11s	11m 9s	620.2%	26.7 GB	304.7 GB	150.4 MB	4.4 MB
126	26/261c48	654388	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL8568434338)	COMPLETED	0	2023-11-22 10:54:19.043	42.7s	40s	286.9%	1.1 GB	23.5 GB	149.4 MB	3.7 MB
124	a7/079f3d	565486	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2210190003)	COMPLETED	0	2023-11-22 10:51:41.764	5m 23s	5m 21s	606.5%	19.5 GB	297.5 GB	149.7 MB	4.2 MB
123	d8/2271a1	521522	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2204190002)	COMPLETED	0	2023-11-22 10:50:20.132	8m 6s	8m 4s	560.3%	19.7 GB	297.7 GB	149.8 MB	4.1 MB
85	6f/e43dd7	150026	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2204180001)	COMPLETED	0	2023-11-22 10:38:56.643	22m 8s	22m 6s	685.5%	37.6 GB	315.5 GB	151.1 MB	4.8 MB
125	0b/bcbfe6	653013	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2203250001)	COMPLETED	0	2023-11-22 10:54:16.174	10m 19s	10m 16s	629.2%	24.8 GB	302.7 GB	150.4 MB	4.9 MB
